id;code;okved;version;ismain
2b306812-36cb-4707-9518-606a9272b7f7;47.91;Торговля розничная по почте или по информационно-коммуникационной сети Интернет;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;62.03.12;Деятельность по управлению компьютерными системами дистанционно;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;63.11;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.38;Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.46;Торговля оптовая фармацевтической продукцией;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.71;Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.51.2;Торговля розничная галантерейными изделиями в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.39;Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.72;Торговля розничная обувью и изделиями из кожи в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.42;Торговля оптовая одеждой и обувью;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;49.41.3;Аренда грузового автомобильного транспорта с водителем;2014;0
24de5efd-ac91-4cbf-91ca-216e6b457834;43.39;Производство прочих отделочных и завершающих работ;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;47.24.1;Торговля розничная хлебом и хлебобулочными изделиями в специализированных магазинах;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;10.73.2;Производство кускуса;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;47.29.31;Торговля розничная мукой и макаронными изделиями в специализированных магазинах;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;47.24.22;Торговля розничная кондитерскими изделиями, включая шоколад, в специализированных магазинах;2014;0
3da2a4fa-b17a-4661-883c-363cce5f2206;47.11.3;Деятельность по розничной торговле большим товарным ассортиментом с преобладанием продовольственных товаров в неспециализированных магазинах;2014;0
892e6d8e-d508-46ec-97f2-ed2cd3829b24;62.01;Разработка компьютерного программного обеспечения;2014;1
892e6d8e-d508-46ec-97f2-ed2cd3829b24;68.10.22;Покупка и продажа собственных нежилых зданий и помещений;2014;0
40544dfd-0e78-454c-8046-6e600d4ae591;49.31;Деятельность сухопутного пассажирского транспорта: перевозки пассажиров в городском и пригородном сообщении;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;73.2;Исследование конъюнктуры рынка и изучение общественного мнения;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;86.21;Общая врачебная практика;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.74;Торговля оптовая скобяными изделиями, водопроводным и отопительным оборудованием и принадлежностями;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;62.03.19;Деятельность по управлению компьютерным оборудованием прочая, не включенная в другие группировки;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.33;Торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.47;Торговля оптовая мебелью, коврами и осветительным оборудованием;2014;0
